"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","217","starships page size is at most 10","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – List","starships.spec.ts","",""
"","185","get film by ID returns A New Hope","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Films – Detail","films.spec.ts","",""
"","256","get person 3 returns R2-D2","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","195","person appears in at least one film","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","People – Detail","people.spec.ts","",""
"","299","get person 4 returns Darth Vader","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","455","get all starships returns paginated results","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Starships – List","starships.spec.ts","",""
"","272","get film 2 returns 'The Empire Strikes Back' (Episode 5)","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","233","get person by ID returns Luke Skywalker","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","People – Detail","people.spec.ts","",""
"","178","get starship 10 returns Millennium Falcon","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Starships – Parametrized","parametrized.spec.ts","",""
"","241","get planet 8 returns Naboo","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","Planets – Parametrized","parametrized.spec.ts","",""
"","188","get species 5 returns Hutt","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Species – Parametrized","parametrized.spec.ts","",""
"","174","planet response passes Zod schema validation","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Planets – Detail","planets.spec.ts","",""
"","174","non-existent planets ID 9999 returns 404","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","356","get film 3 returns 'Return of the Jedi' (Episode 6)","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","221","non-existent endpoint returns 404","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","194","root resource URLs are valid","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Root Endpoint","root.spec.ts","",""
"","403","species page size is at most 10","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Species – List","species.spec.ts","",""
"","167","root response lists all six resources","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Root Endpoint","root.spec.ts","",""
"","240","person 1 responds within SLA","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","186","get film 1 returns 'A New Hope' (Episode 4)","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","314","get starship 12 returns X-wing","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Starships – Parametrized","parametrized.spec.ts","",""
"","229","film has correct release date","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Films – Detail","films.spec.ts","",""
"","174","get planet by ID returns Tatooine","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Planets – Detail","planets.spec.ts","",""
"","207","search starships by name returns matching results","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – List","starships.spec.ts","",""
"","183","search vehicles by name returns matching results","","Tue Mar 31 15:19:16 UTC 2026","passed","Tue Mar 31 15:19:16 UTC 2026","Vehicles – List","vehicles.spec.ts","",""
"","227","film has planets","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Films – Detail","films.spec.ts","",""
"","1196","people pagination returns different results per page","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","People – List","people.spec.ts","",""
"","252","get species 6 returns Yoda's species","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Species – Parametrized","parametrized.spec.ts","",""
"","202","non-existent film returns 404","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Films – Detail","films.spec.ts","",""
"","180","person 3 responds within SLA","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","216","get vehicle 4 returns Sand Crawler","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Vehicles – Parametrized","parametrized.spec.ts","",""
"","177","get starship 3 returns Star Destroyer","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – Parametrized","parametrized.spec.ts","",""
"","192","get film 6 returns 'Revenge of the Sith' (Episode 3)","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","186","get vehicle by ID returns Sand Crawler","","Tue Mar 31 15:19:16 UTC 2026","passed","Tue Mar 31 15:19:16 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","251","species response passes Zod schema validation","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Species – Detail","species.spec.ts","",""
"","210","get planet 2 returns Alderaan","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Planets – Parametrized","parametrized.spec.ts","",""
"","198","non-existent films ID 9999 returns 404","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","177","get vehicle 14 returns Snowspeeder","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Vehicles – Parametrized","parametrized.spec.ts","",""
"","210","get starship 2 returns CR90 corvette","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – Parametrized","parametrized.spec.ts","",""
"","288","species has people","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Species – Detail","species.spec.ts","",""
"","184","search people with nonsense term returns empty","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","People – List","people.spec.ts","",""
"","470","film characters resolve to valid people","","Tue Mar 31 15:19:15 UTC 2026","passed","Tue Mar 31 15:19:15 UTC 2026","Cross-Resource – Chaining","parametrized.spec.ts","",""
"","212","get planet 1 returns Tatooine","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Planets – Parametrized","parametrized.spec.ts","",""
"","196","non-existent starship returns 404","","Tue Mar 31 15:19:15 UTC 2026","passed","Tue Mar 31 15:19:15 UTC 2026","Starships – Detail","starships.spec.ts","",""
"","186","get person 5 returns Leia Organa","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","193","get species 3 returns Wookie","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Species – Parametrized","parametrized.spec.ts","",""
"","552","species pagination returns different results per page","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Species – List","species.spec.ts","",""
"","208","very large page number returns 404","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","214","person 5 responds within SLA","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","164","non-existent vehicle returns 404","","Tue Mar 31 15:19:17 UTC 2026","passed","Tue Mar 31 15:19:17 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","194","search vehicles with nonsense term returns empty","","Tue Mar 31 15:19:16 UTC 2026","passed","Tue Mar 31 15:19:16 UTC 2026","Vehicles – List","vehicles.spec.ts","",""
"","193","non-existent species ID 9999 returns 404","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","316","film has characters","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","Films – Detail","films.spec.ts","",""
"","339","people page size is at most 10","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","People – List","people.spec.ts","",""
"","164","non-existent planet returns 404","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Planets – Detail","planets.spec.ts","",""
"","240","get vehicle 7 returns X-34 landspeeder","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Vehicles – Parametrized","parametrized.spec.ts","",""
"","494","get film 5 returns 'Attack of the Clones' (Episode 2)","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","200","get vehicle 6 returns T-16 skyhopper","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","Vehicles – Parametrized","parametrized.spec.ts","",""
"","189","vehicles page size is at most 10","","Tue Mar 31 15:19:15 UTC 2026","passed","Tue Mar 31 15:19:15 UTC 2026","Vehicles – List","vehicles.spec.ts","",""
"","264","starship appears in at least one film","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Starships – Detail","starships.spec.ts","",""
"","279","get planet 5 returns Dagobah","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Planets – Parametrized","parametrized.spec.ts","",""
"","559","get all people returns paginated results","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","People – List","people.spec.ts","",""
"","323","species has correct language","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Species – Detail","species.spec.ts","",""
"","231","get planet 3 returns Yavin IV","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Planets – Parametrized","parametrized.spec.ts","",""
"","242","person response passes Zod schema validation","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","People – Detail","people.spec.ts","",""
"","422","species people are valid persons","","Tue Mar 31 15:19:15 UTC 2026","passed","Tue Mar 31 15:19:16 UTC 2026","Cross-Resource – Chaining","parametrized.spec.ts","",""
"","205","non-existent person returns 404","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:12 UTC 2026","People – Detail","people.spec.ts","",""
"","215","trailing-slash-less URL redirects or works","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","260","starship has a hyperdrive rating","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:15 UTC 2026","Starships – Detail","starships.spec.ts","",""
"","221","person 4 responds within SLA","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:07 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
"","190","vehicle has correct manufacturer","","Tue Mar 31 15:19:16 UTC 2026","passed","Tue Mar 31 15:19:16 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","196","get vehicle 8 returns TIE/LN starfighter","","Tue Mar 31 15:19:12 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Vehicles – Parametrized","parametrized.spec.ts","",""
"","181","non-existent vehicles ID 9999 returns 404","","Tue Mar 31 15:19:07 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","188","search people by name returns matching results","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","People – List","people.spec.ts","",""
"","198","get starship 9 returns Death Star","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – Parametrized","parametrized.spec.ts","",""
"","200","get species 2 returns Droid","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","Species – Parametrized","parametrized.spec.ts","",""
"","665","empty search term returns all results","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","775","invalid page parameter returns 404","","Tue Mar 31 15:19:05 UTC 2026","passed","Tue Mar 31 15:19:05 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","183","search species with nonsense term returns empty","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Species – List","species.spec.ts","",""
"","353","get film 4 returns 'The Phantom Menace' (Episode 1)","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","Films – Parametrized","parametrized.spec.ts","",""
"","191","person has a valid homeworld URL","","Tue Mar 31 15:19:11 UTC 2026","passed","Tue Mar 31 15:19:11 UTC 2026","People – Detail","people.spec.ts","",""
"","986","SWAPI contains exactly 6 films","","Tue Mar 31 15:19:05 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","Films – List","films.spec.ts","",""
"","267","search planets by name returns matching results","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","Planets – List","planets.spec.ts","",""
"","195","search with special characters returns empty","","Tue Mar 31 15:19:06 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","172","get species by ID returns Human","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:14 UTC 2026","Species – Detail","species.spec.ts","",""
"","644","person homeworld URL resolves to a valid planet","","Tue Mar 31 15:19:14 UTC 2026","passed","Tue Mar 31 15:19:15 UTC 2026","Cross-Resource – Chaining","parametrized.spec.ts","",""
"","207","search species by name returns matching results","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Species – List","species.spec.ts","",""
"","537","starships pagination returns different results per page","","Tue Mar 31 15:19:13 UTC 2026","passed","Tue Mar 31 15:19:13 UTC 2026","Starships – List","starships.spec.ts","",""
"","177","non-numeric page parameter returns 404","","Tue Mar 31 15:19:05 UTC 2026","passed","Tue Mar 31 15:19:05 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","282","planets page size is at most 10","","Tue Mar 31 15:19:09 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","Planets – List","planets.spec.ts","",""
"","229","search planets with nonsense term returns empty","","Tue Mar 31 15:19:10 UTC 2026","passed","Tue Mar 31 15:19:10 UTC 2026","Planets – List","planets.spec.ts","",""
"","171","non-existent starships ID 9999 returns 404","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:08 UTC 2026","Negative – Edge Cases","negative.spec.ts","",""
"","179","vehicle appears in at least one film","","Tue Mar 31 15:19:16 UTC 2026","passed","Tue Mar 31 15:19:17 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","374","get all planets returns paginated results","","Tue Mar 31 15:19:08 UTC 2026","passed","Tue Mar 31 15:19:09 UTC 2026","Planets – List","planets.spec.ts","",""
"","187","get person 2 returns C-3PO","","Tue Mar 31 15:19:05 UTC 2026","passed","Tue Mar 31 15:19:06 UTC 2026","People – Parametrized","parametrized.spec.ts","",""
